Word,Company,Sector
MMM,MMM,Industrials
AOS,AOS,Industrials
ABT,ABT,Health Care
ABBV,ABBV,Health Care
ACN,ACN,Information Technology
ATVI,ATVI,Information Technology
AYI,AYI,Industrials
ADBE,ADBE,Information Technology
AAP,AAP,Consumer Discretionary
AMD,AMD,Information Technology
AES,AES,Utilities
AET,AET,Health Care
AMG,AMG,Financials
AFL,AFL,Financials
A,A,Health Care
APD,APD,Materials
AKAM,AKAM,Information Technology
ALK,ALK,Industrials
ALB,ALB,Materials
ARE,ARE,Real Estate
ALXN,ALXN,Health Care
ALGN,ALGN,Health Care
ALLE,ALLE,Industrials
AGN,AGN,Health Care
ADS,ADS,Information Technology
LNT,LNT,Utilities
ALL,ALL,Financials
GOOGL,GOOGL,Information Technology
GOOG,GOOG,Information Technology
MO,MO,Consumer Staples
AMZN,AMZN,Consumer Discretionary
AEE,AEE,Utilities
AAL,AAL,Industrials
AEP,AEP,Utilities
AXP,AXP,Financials
AIG,AIG,Financials
AMT,AMT,Real Estate
AWK,AWK,Utilities
AMP,AMP,Financials
ABC,ABC,Health Care
AME,AME,Industrials
AMGN,AMGN,Health Care
APH,APH,Information Technology
APC,APC,Energy
ADI,ADI,Information Technology
ANDV,ANDV,Energy
ANSS,ANSS,Information Technology
ANTM,ANTM,Health Care
AON,AON,Financials
APA,APA,Energy
AIV,AIV,Real Estate
AAPL,AAPL,Information Technology
AMAT,AMAT,Information Technology
APTV,APTV,Consumer Discretionary
ADM,ADM,Consumer Staples
ARNC,ARNC,Industrials
AJG,AJG,Financials
AIZ,AIZ,Financials
T,T,Telecommunication Services
ADSK,ADSK,Information Technology
ADP,ADP,Information Technology
AZO,AZO,Consumer Discretionary
AVB,AVB,Real Estate
AVY,AVY,Materials
BHGE,BHGE,Energy
BLL,BLL,Materials
BAC,BAC,Financials
BAX,BAX,Health Care
BBT,BBT,Financials
BDX,BDX,Health Care
BRK.B,BRK.B,Financials
BBY,BBY,Consumer Discretionary
BIIB,BIIB,Health Care
BLK,BLK,Financials
HRB,HRB,Financials
BA,BA,Industrials
BKNG,BKNG,Consumer Discretionary
BWA,BWA,Consumer Discretionary
BXP,BXP,Real Estate
BSX,BSX,Health Care
BHF,BHF,Financials
BMY,BMY,Health Care
AVGO,AVGO,Information Technology
BF.B,BF.B,Consumer Staples
CHRW,CHRW,Industrials
CA,CA,Information Technology
COG,COG,Energy
CDNS,CDNS,Information Technology
CPB,CPB,Consumer Staples
COF,COF,Financials
CAH,CAH,Health Care
KMX,KMX,Consumer Discretionary
CCL,CCL,Consumer Discretionary
CAT,CAT,Industrials
CBOE,CBOE,Financials
CBRE,CBRE,Real Estate
CBS,CBS,Consumer Discretionary
CELG,CELG,Health Care
CNC,CNC,Health Care
CNP,CNP,Utilities
CTL,CTL,Telecommunication Services
CERN,CERN,Health Care
CF,CF,Materials
SCHW,SCHW,Financials
CHTR,CHTR,Consumer Discretionary
CVX,CVX,Energy
CMG,CMG,Consumer Discretionary
CB,CB,Financials
CHD,CHD,Consumer Staples
CI,CI,Health Care
XEC,XEC,Energy
CINF,CINF,Financials
CTAS,CTAS,Industrials
CSCO,CSCO,Information Technology
C,C,Financials
CFG,CFG,Financials
CTXS,CTXS,Information Technology
CME,CME,Financials
CMS,CMS,Utilities
KO,KO,Consumer Staples
CTSH,CTSH,Information Technology
CL,CL,Consumer Staples
CMCSA,CMCSA,Consumer Discretionary
CMA,CMA,Financials
CAG,CAG,Consumer Staples
CXO,CXO,Energy
COP,COP,Energy
ED,ED,Utilities
STZ,STZ,Consumer Staples
GLW,GLW,Information Technology
COST,COST,Consumer Staples
COTY,COTY,Consumer Staples
CCI,CCI,Real Estate
CSRA,CSRA,Information Technology
CSX,CSX,Industrials
CMI,CMI,Industrials
CVS,CVS,Consumer Staples
DHI,DHI,Consumer Discretionary
DHR,DHR,Health Care
DRI,DRI,Consumer Discretionary
DVA,DVA,Health Care
DE,DE,Industrials
DAL,DAL,Industrials
XRAY,XRAY,Health Care
DVN,DVN,Energy
DLR,DLR,Real Estate
DFS,DFS,Financials
DISCA,DISCA,Consumer Discretionary
DISCK,DISCK,Consumer Discretionary
DISH,DISH,Consumer Discretionary
DG,DG,Consumer Discretionary
DLTR,DLTR,Consumer Discretionary
D,D,Utilities
DOV,DOV,Industrials
DWDP,DWDP,Materials
DPS,DPS,Consumer Staples
DTE,DTE,Utilities
DUK,DUK,Utilities
DRE,DRE,Real Estate
DXC,DXC,Information Technology
ETFC,ETFC,Financials
EMN,EMN,Materials
ETN,ETN,Industrials
EBAY,EBAY,Information Technology
ECL,ECL,Materials
EIX,EIX,Utilities
EW,EW,Health Care
EA,EA,Information Technology
EMR,EMR,Industrials
ETR,ETR,Utilities
EVHC,EVHC,Health Care
EOG,EOG,Energy
EQT,EQT,Energy
EFX,EFX,Industrials
EQIX,EQIX,Real Estate
EQR,EQR,Real Estate
ESS,ESS,Real Estate
EL,EL,Consumer Staples
RE,RE,Financials
ES,ES,Utilities
EXC,EXC,Utilities
EXPE,EXPE,Consumer Discretionary
EXPD,EXPD,Industrials
ESRX,ESRX,Health Care
EXR,EXR,Real Estate
XOM,XOM,Energy
FFIV,FFIV,Information Technology
FB,FB,Information Technology
FAST,FAST,Industrials
FRT,FRT,Real Estate
FDX,FDX,Industrials
FIS,FIS,Information Technology
FITB,FITB,Financials
FE,FE,Utilities
FISV,FISV,Information Technology
FLIR,FLIR,Information Technology
FLS,FLS,Industrials
FLR,FLR,Industrials
FMC,FMC,Materials
FL,FL,Consumer Discretionary
F,F,Consumer Discretionary
FTV,FTV,Industrials
FBHS,FBHS,Industrials
BEN,BEN,Financials
FCX,FCX,Materials
GPS,GPS,Consumer Discretionary
GRMN,GRMN,Consumer Discretionary
IT,IT,Information Technology
GD,GD,Industrials
GE,GE,Industrials
GGP,GGP,Real Estate
GIS,GIS,Consumer Staples
GM,GM,Consumer Discretionary
GPC,GPC,Consumer Discretionary
GILD,GILD,Health Care
GPN,GPN,Information Technology
GS,GS,Financials
GT,GT,Consumer Discretionary
GWW,GWW,Industrials
HAL,HAL,Energy
HBI,HBI,Consumer Discretionary
HOG,HOG,Consumer Discretionary
HRS,HRS,Information Technology
HIG,HIG,Financials
HAS,HAS,Consumer Discretionary
HCA,HCA,Health Care
HCP,HCP,Real Estate
HP,HP,Energy
HSIC,HSIC,Health Care
HES,HES,Energy
HPE,HPE,Information Technology
HLT,HLT,Consumer Discretionary
HOLX,HOLX,Health Care
HD,HD,Consumer Discretionary
HON,HON,Industrials
HRL,HRL,Consumer Staples
HST,HST,Real Estate
HPQ,HPQ,Information Technology
HUM,HUM,Health Care
HBAN,HBAN,Financials
HII,HII,Industrials
IDXX,IDXX,Health Care
INFO,INFO,Industrials
ITW,ITW,Industrials
ILMN,ILMN,Health Care
INCY,INCY,Health Care
IR,IR,Industrials
INTC,INTC,Information Technology
ICE,ICE,Financials
IBM,IBM,Information Technology
IP,IP,Materials
IPG,IPG,Consumer Discretionary
IFF,IFF,Materials
INTU,INTU,Information Technology
